OG_id	D_melanogaster_all	D_melanogaster_gene	D_melanogaster_protein	D_yakuba_all	D_yakuba_gene	D_yakuba_protein	ML dN	ML dS	ML omega
30674	FBgn0033475	FBgn0033475	FBpp0087483	FBgn0236676	FBgn0236676	FBpp0264337	0.0775	0.2878	0.2693
30675	FBgn0027583	FBgn0027583	FBpp0084910	FBgn0228294	FBgn0228294	FBpp0255442	0.0129	0.3566	0.0362
30684	FBgn0037100	FBgn0037100	FBpp0078034	FBgn0239540;FBgn0239917	FBgn0239540	FBpp0267325	0.0288	0.301	0.0957
30689	FBgn0037325	FBgn0037325	FBpp0078437	FBgn0242363	FBgn0242363	FBpp0359388	0.0649	0.4272	0.1519
30692	FBgn0033347	FBgn0033347	FBpp0087759	FBgn0239926	FBgn0239926	FBpp0267729	0.1252	0.4035	0.3103
30700	FBgn0052413	FBgn0052413	FBpp0293798	FBgn0237838	FBgn0237838	FBpp0363063	0.1367	0.3399	0.4022
30703	FBgn0036777	FBgn0036777	FBpp0074890	FBgn0237277	FBgn0237277	FBpp0264958	0.0758	0.3016	0.2513
30707	FBgn0039450	FBgn0039450	FBpp0084411	FBgn0240847	FBgn0240847	FBpp0362122	0.0157	0.2569	0.0611
30711	FBgn0040765	FBgn0040765	FBpp0305280	FBgn0230762	FBgn0230762	FBpp0353016	0.0218	0.2572	0.0848
30724	FBgn0263106	FBgn0263106	FBpp0076829	FBgn0066135	FBgn0066135	FBpp0353527	0.0395	0.3538	0.1116
30725	FBgn0034008	FBgn0034008	FBpp0086524	FBgn0230007	FBgn0230007	FBpp0257258	0.0542	0.3378	0.1604
30733	FBgn0035107	FBgn0035107	FBpp0072383	FBgn0238341	FBgn0238341	FBpp0360105	0.0081	0.2352	0.0344
30737	FBgn0031053	FBgn0031053	FBpp0305111	FBgn0234834	FBgn0234834	FBpp0262375	0.0244	0.3121	0.0782
30738	FBgn0033166	FBgn0033166	FBpp0088080	FBgn0241209	FBgn0241209	FBpp0269080	0.0443	0.2596	0.1706
30744	FBgn0032820	FBgn0032820	FBpp0312559	FBgn0230358	FBgn0230358	FBpp0257640	0.0078	0.3301	0.0236
30754	FBgn0031630	FBgn0031630	FBpp0077075	FBgn0235732	FBgn0235732	FBpp0263317	0.015	0.3468	0.0433
30761	FBgn0250820	FBgn0250820	FBpp0083420	FBgn0242771	FBgn0242771	FBpp0270723	0.0082	0.2977	0.0275
30764	FBgn0041242	FBgn0041242	FBpp0292248	FBgn0236703	FBgn0236703	FBpp0264367	0.0826	0.3435	0.2405
30767	FBgn0028837	FBgn0028837	FBpp0083658	FBgn0228180	FBgn0228180	FBpp0255322	0.0151	0.2987	0.0506
30769	FBgn0038877	FBgn0038877	FBpp0083501	FBgn0242093	FBgn0242093	FBpp0270011	0.0069	0.1813	0.0381
30773	FBgn0036036	FBgn0036036	FBpp0076131	FBgn0238161	FBgn0238161	FBpp0265882	0.0588	0.3444	0.1707
30774	FBgn0031466	FBgn0031466	FBpp0077375	FBgn0232593	FBgn0232593	FBpp0260013	0.0378	0.2949	0.1282
30776	FBgn0023477	FBgn0023477	FBpp0072050	FBgn0068023	FBgn0068023	FBpp0259353	0.0049	0.2403	0.0204
30777	FBgn0028540	FBgn0028540	FBpp0310255	FBgn0229275	FBgn0229275	FBpp0361139	0.0013	0.2008	0.0065
30778	FBgn0037719	FBgn0037719	FBpp0099982	FBgn0241861	FBgn0241861	FBpp0269768	0.0563	0.2581	0.2181
30785	FBgn0033813	FBgn0033813	FBpp0086855	FBgn0230264	FBgn0230264	FBpp0257537	0.124	0.2629	0.4717
30786	FBgn0030634	FBgn0030634	FBpp0310008	FBgn0233600	FBgn0233600	FBpp0261060	0.0039	0.2408	0.0162
30793	FBgn0033735	FBgn0033735	FBpp0312210	FBgn0230206	FBgn0230206	FBpp0257473	0.017	0.3374	0.0504
30795	FBgn0039694	FBgn0039694	FBpp0084904	FBgn0228292	FBgn0228292	FBpp0255439	0.063	0.3415	0.1845
30800	FBgn0030360	FBgn0030360	FBpp0073418	FBgn0234006	FBgn0234006	FBpp0261498	0.0477	0.2804	0.1701
30802	FBgn0039470	FBgn0039470	FBpp0084450	FBgn0228455	FBgn0228455	FBpp0364035	0.0895	0.3026	0.2958
30821	FBgn0266429	FBgn0266429	FBpp0070550	FBgn0233840	FBgn0233840	FBpp0261316	0.0131	0.1852	0.0707
30822	FBgn0037185	FBgn0037185	FBpp0078180	FBgn0068484;FBgn0232269	FBgn0068484	FBpp0267645	0.0495	0.3059	0.1618
30827	FBgn0033117	FBgn0033117	FBpp0298012	FBgn0236446	FBgn0236446	FBpp0264095	0.044	0.342	0.1287
30838	FBgn0031513	FBgn0031513	FBpp0309469	FBgn0235647	FBgn0235647	FBpp0360570	0.2938	0.4135	0.7105
30843	FBgn0039304	FBgn0039304	FBpp0084241	FBgn0228566	FBgn0228566	FBpp0255731	0.0205	0.2546	0.0805
30853	FBgn0038371	FBgn0038371	FBpp0082644	FBgn0243385	FBgn0243385	FBpp0271366	0.0736	0.3946	0.1865
30865	FBgn0265052	FBgn0265052	FBpp0307661	FBgn0231928	FBgn0231928	FBpp0259323	0.0748	0.4912	0.1523
30870	FBgn0260985	FBgn0260985	FBpp0073120	FBgn0237951	FBgn0237951	FBpp0265656	0.0106	0.3291	0.0322
30872	FBgn0036515	FBgn0036515	FBpp0075318	FBgn0239482;FBgn0237165	FBgn0239482	FBpp0267267	0.0181	0.1852	0.0977
30884	FBgn0011666	FBgn0011666	FBpp0084255	FBgn0240782	FBgn0240782	FBpp0268619	0.009	0.1597	0.0564
30890	FBgn0036759	FBgn0036759	FBpp0312457	FBgn0239340	FBgn0239340	FBpp0267120	0.0319	0.2639	0.1209
30896	FBgn0034683	FBgn0034683	FBpp0071718	FBgn0231314	FBgn0231314	FBpp0258667	0.0696	0.3119	0.2231
30900	FBgn0038360	FBgn0038360	FBpp0082626	FBgn0241458	FBgn0241458	FBpp0269346	0.0409	0.4312	0.0949
30905	FBgn0034371	FBgn0034371	FBpp0291075	FBgn0231543	FBgn0231543	FBpp0354862	0.0056	0.1672	0.0335
30906	FBgn0035483	FBgn0035483	FBpp0073049	FBgn0238656	FBgn0238656	FBpp0266406	0.0201	0.3638	0.0553
30912	FBgn0067783	FBgn0067783	FBpp0310687	FBgn0242154	FBgn0242154	FBpp0358041	0.0173	0.2394	0.0723
30913	FBgn0024993	FBgn0024993	FBpp0311753	FBgn0233809	FBgn0233809	FBpp0261283	0.096	0.3139	0.3058
30920	FBgn0037902	FBgn0037902	FBpp0081867	FBgn0243138	FBgn0243138	FBpp0271108	0.0091	0.2768	0.0329
30924	FBgn0051673	FBgn0051673	FBpp0080951	FBgn0230100	FBgn0230100	FBpp0257361	0.0252	0.2329	0.1082
30926	FBgn0029512	FBgn0029512	FBpp0082065	FBgn0241630	FBgn0241630	FBpp0269526	0.0325	0.3995	0.0814
30928	FBgn0033389	FBgn0033389	FBpp0290742	FBgn0236616	FBgn0236616	FBpp0264273	0.09	0.2954	0.3047
30931	FBgn0030296	FBgn0030296	FBpp0290073	FBgn0233490	FBgn0233490	FBpp0260943	0.1285	0.3097	0.4149
30933	FBgn0052243	FBgn0052243	FBpp0073178	FBgn0237910	FBgn0237910	FBpp0265612	0.1909	0.4804	0.3974
30935	FBgn0283649	FBgn0283649	FBpp0075265	FBgn0239508;FBgn0240071	FBgn0239508	FBpp0357236	0.0028	0.1379	0.0203
30945	FBgn0039595	FBgn0039595	FBpp0307766	FBgn0228357	FBgn0228357	FBpp0255509	0.0035	0.2048	0.0171
30956	FBgn0265185	FBgn0265185	FBpp0308250	FBgn0231083	FBgn0231083	FBpp0355131	0.0165	0.4032	0.0409
30958	FBgn0033060	FBgn0033060	FBpp0085330	FBgn0238007	FBgn0238007	FBpp0265713	0.0437	0.2011	0.2173
30961	FBgn0032228	FBgn0032228	FBpp0079644	FBgn0243095	FBgn0243095	FBpp0271063	0.0273	0.3603	0.0758
30962	FBgn0039630	FBgn0039630	FBpp0084732	FBgn0240985	FBgn0240985	FBpp0268840	0.0426	0.2669	0.1596
30963	FBgn0032783	FBgn0032783	FBpp0080749	FBgn0230379	FBgn0230379	FBpp0257662	0.0037	0.4691	0.0079
30971	FBgn0000084	FBgn0000084	FBpp0291143	FBgn0232944	FBgn0232944	FBpp0352607	0.0075	0.2844	0.0264
30974	FBgn0035206	FBgn0035206	FBpp0072611	FBgn0238254	FBgn0238254	FBpp0265980	0.0098	0.3062	0.032
30980	FBgn0040465	FBgn0040465	FBpp0085913	FBgn0229705	FBgn0229705	FBpp0256933	0.0511	0.4091	0.1249
30989	FBgn0025630	FBgn0025630	FBpp0070316	FBgn0233771	FBgn0233771	FBpp0261241	0.0852	0.455	0.1873
30995	FBgn0036834	FBgn0036834	FBpp0074790	FBgn0236921	FBgn0236921	FBpp0264592	0.0254	0.3405	0.0746
31012	FBgn0028897	FBgn0028897	FBpp0080383	FBgn0238648	FBgn0238648	FBpp0266397	0.0135	0.3261	0.0414
31022	FBgn0028857	FBgn0028857	FBpp0289840	FBgn0238495	FBgn0238495	FBpp0363729	0.0625	0.3803	0.1643
31031	FBgn0037992	FBgn0037992	FBpp0300611	FBgn0241660	FBgn0241660	FBpp0363666	0.004	0.1564	0.0256
31036	FBgn0033826	FBgn0033826	FBpp0086867	FBgn0231050	FBgn0231050	FBpp0258381	0.0349	0.2856	0.1222
31042	FBgn0031418	FBgn0031418	FBpp0292146	FBgn0232707	FBgn0232707	FBpp0260128	0.0157	0.2376	0.0661
31043	FBgn0260453;FBgn0260454	FBgn0260453	FBpp0100170	FBgn0230959;FBgn0230949	FBgn0230959	FBpp0258283	0.0561	0.3922	0.143
31045	FBgn0028394	FBgn0028394	FBpp0079298	FBgn0236172	FBgn0236172	FBpp0263796	0.0061	0.2923	0.0209
31052	FBgn0015621	FBgn0015621	FBpp0077676	FBgn0277383	FBgn0277383	FBpp0361819	0.0067	0.5897	0.0114
31057	FBgn0017572	FBgn0017572	FBpp0075117	FBgn0239429	FBgn0239429	FBpp0267212	0.0002	0.2081	0.001
31059	FBgn0016131	FBgn0016131	FBpp0309069	FBgn0229597	FBgn0229597	FBpp0358310	0.0081	0.3809	0.0213
31061	FBgn0039664	FBgn0039664	FBpp0292508	FBgn0241002	FBgn0241002	FBpp0268862	0.0412	0.8599	0.0479
31062	FBgn0038206	FBgn0038206	FBpp0082352	FBgn0241351	FBgn0241351	FBpp0269230	0.0013	0.3409	0.0038
31067	FBgn0039473	FBgn0039473	FBpp0084522	FBgn0228451	FBgn0228451	FBpp0255607	0.0343	0.3374	0.1017
31068	FBgn0039945	FBgn0039945	FBpp0291698	FBgn0232839	FBgn0232839	FBpp0260261	0.0964	0.1878	0.5133
31070	FBgn0260657	FBgn0260657	FBpp0293525	FBgn0238716	FBgn0238716	FBpp0266469	0.0064	0.11	0.0582
31076	FBgn0039106	FBgn0039106	FBpp0112996	FBgn0228253	FBgn0228253	FBpp0255397	0.0083	0.4528	0.0183
31079	FBgn0031441	FBgn0031441	FBpp0077423	FBgn0232654	FBgn0232654	FBpp0260074	0.1613	1.0844	0.1487
31085	FBgn0032405	FBgn0032405	FBpp0293789	FBgn0230189	FBgn0230189	FBpp0352931	0.0208	0.3251	0.064
31090	FBgn0062449	FBgn0062449	FBpp0311687	FBgn0230121	FBgn0230121	FBpp0257385	0.199	0.2937	0.6776
31091	FBgn0033112	FBgn0033112	FBpp0289587	FBgn0241499	FBgn0241499	FBpp0361160	0.0998	0.3518	0.2837
31095	FBgn0037368	FBgn0037368	FBpp0078369	FBgn0228038	FBgn0228038	FBpp0255168	0.061	0.3661	0.1666
31097	FBgn0264816	FBgn0264816	FBpp0306264	FBgn0242604	FBgn0242604	FBpp0354742	0.0256	0.3673	0.0697
31098	FBgn0025682	FBgn0025682	FBpp0088881	FBgn0238417	FBgn0238417	FBpp0266150	0.0386	0.3289	0.1174
31102	FBgn0033474	FBgn0033474	FBpp0308508	FBgn0239105	FBgn0239105	FBpp0353740	0.0285	0.1935	0.1473
31104	FBgn0037017	FBgn0037017	FBpp0311797	FBgn0239942;FBgn0239609	FBgn0239942	FBpp0267746	0.0173	0.307	0.0564
31114	FBgn0001258	FBgn0001258	FBpp0304376	FBgn0237801	FBgn0237801	FBpp0265496	0.0025	0.2274	0.011
31116	FBgn0034898	FBgn0034898	FBpp0072003	FBgn0229340	FBgn0229340	FBpp0256550	0.0814	0.5509	0.1478
31118	FBgn0039849	FBgn0039849	FBpp0306623	FBgn0240510	FBgn0240510	FBpp0268325	0.0149	0.3184	0.0468
31122	FBgn0025674	FBgn0025674	FBpp0310472	FBgn0230680	FBgn0230680	FBpp0257978	0.0243	0.3734	0.0651
31125	FBgn0003300	FBgn0003300	FBpp0311837	FBgn0084618	FBgn0084618	FBpp0262904	0.0033	0.1887	0.0175
31136	FBgn0003448	FBgn0003448	FBpp0080298	FBgn0236744	FBgn0236744	FBpp0264411	0.0055	0.2342	0.0235
31139	FBgn0001148	FBgn0001148	FBpp0072349	FBgn0232069	FBgn0232069	FBpp0259474	0.0181	0.2984	0.0607
31151	FBgn0051642	FBgn0051642	FBpp0078830	FBgn0275467	FBgn0275467	FBpp0358179	0.2241	0.4347	0.5155
31157	FBgn0033203	FBgn0033203	FBpp0087995	FBgn0236499	FBgn0236499	FBpp0264149	0.0425	0.4639	0.0916
31158	FBgn0034925	FBgn0034925	FBpp0072129	FBgn0229315	FBgn0229315	FBpp0256523	0.0042	0.3419	0.0123
31159	FBgn0034842	FBgn0034842	FBpp0071954	FBgn0229386	FBgn0229386	FBpp0256596	0.0324	0.462	0.0701
31161	FBgn0052571	FBgn0052571	FBpp0074099	FBgn0235070	FBgn0235070	FBpp0262627	0.0204	0.259	0.0788
31172	FBgn0035971	FBgn0035971	FBpp0076159	FBgn0238105	FBgn0238105	FBpp0265822	0.1389	0.3879	0.3581
31177	FBgn0031267	FBgn0031267	FBpp0077734	FBgn0233560	FBgn0233560	FBpp0261017	0.0226	0.2613	0.0865
31181	FBgn0039301	FBgn0039301	FBpp0304467	FBgn0240751	FBgn0240751	FBpp0268588	0.0274	0.3605	0.076
31184	FBgn0031483	FBgn0031483	FBpp0077360	FBgn0232562	FBgn0232562	FBpp0259982	0.1513	0.426	0.3552
31185	FBgn0032692	FBgn0032692	FBpp0080628	FBgn0230447	FBgn0230447	FBpp0257733	0.0413	0.2531	0.1632
31188	FBgn0260484;FBgn0029676	FBgn0260484	FBpp0070575	FBgn0066138	FBgn0066138	FBpp0354068	0.0914	0.4196	0.2178
31219	FBgn0035524	FBgn0035524	FBpp0073098	FBgn0068480	FBgn0068480	FBpp0352963	0.0124	0.2677	0.0463
31220	FBgn0030995	FBgn0030995	FBpp0074465	FBgn0233046	FBgn0233046	FBpp0260480	0.0442	0.3127	0.1413
31223	FBgn0034655	FBgn0034655	FBpp0071588	FBgn0229974	FBgn0229974	FBpp0257224	0.0267	0.3364	0.0794
31231	FBgn0031628	FBgn0031628	FBpp0077073	FBgn0235731	FBgn0235731	FBpp0363137	0.0649	0.3645	0.1781
31232	FBgn0040318	FBgn0040318	FBpp0075463	FBgn0237340	FBgn0237340	FBpp0358075	0.0061	0.2025	0.0301
31233	FBgn0085369	FBgn0085369	FBpp0308648	FBgn0235676	FBgn0235676	FBpp0355555	0.0085	0.2954	0.0288
31242	FBgn0037396	FBgn0037396	FBpp0078272	FBgn0241258;FBgn0228056	FBgn0241258	FBpp0269131	0.0855	0.4552	0.1878
31244	FBgn0031495	FBgn0031495	FBpp0077336	FBgn0235635	FBgn0235635	FBpp0263214	0.0168	0.2056	0.0817
31254	FBgn0033665	FBgn0033665	FBpp0087144	FBgn0230136	FBgn0230136	FBpp0257400	0.004	0.2968	0.0135
31262	FBgn0003479	FBgn0003479	FBpp0084955	FBgn0240605	FBgn0240605	FBpp0268426	0.0039	0.3507	0.0111
31270	FBgn0052720	FBgn0052720	FBpp0293410	FBgn0276941	FBgn0276941	FBpp0354958	0.2155	0.8296	0.2598
31275	FBgn0259199	FBgn0259199	FBpp0288961	FBgn0276306	FBgn0276306	FBpp0358963	0.0564	0.4166	0.1354
31280	FBgn0031635	FBgn0031635	FBpp0077103	FBgn0232264	FBgn0232264	FBpp0355350	0.0044	0.239	0.0184
31290	FBgn0031473	FBgn0031473	FBpp0307131	FBgn0232581	FBgn0232581	FBpp0260001	0.004	0.2215	0.0181
31296	FBgn0029867	FBgn0029867	FBpp0070870	FBgn0234244	FBgn0234244	FBpp0261759	0.0355	0.4759	0.0746
31297	FBgn0029849	FBgn0029849	FBpp0070840	FBgn0234229	FBgn0234229	FBpp0261743	0.0062	0.3646	0.017
31299	FBgn0037320	FBgn0037320	FBpp0078444	FBgn0242367	FBgn0242367	FBpp0270297	0.1968	0.3646	0.5398
31305	FBgn0036336	FBgn0036336	FBpp0304385	FBgn0239182	FBgn0239182	FBpp0266954	0.0296	0.3439	0.0861
31309	FBgn0038861	FBgn0038861	FBpp0083432	FBgn0242101	FBgn0242101	FBpp0270021	0.0345	0.4057	0.085
31311	FBgn0036916	FBgn0036916	FBpp0074687	FBgn0239677;FBgn0240208	FBgn0239677	FBpp0267465	0.0325	0.408	0.0797
31321	FBgn0037365	FBgn0037365	FBpp0306966	FBgn0241280	FBgn0241280	FBpp0269155	0.0785	0.4311	0.1821
31325	FBgn0038257	FBgn0038257	FBpp0307825	FBgn0067926	FBgn0067926	FBpp0355190	0.0361	0.2839	0.1272
31335	FBgn0029936	FBgn0029936	FBpp0070978	FBgn0235000	FBgn0235000	FBpp0262551	0.0497	0.4953	0.1003
31336	FBgn0027364	FBgn0027364	FBpp0077933	FBgn0239604;FBgn0239938	FBgn0239604	FBpp0267391	0.0063	0.4406	0.0143
31342	FBgn0032149	FBgn0032149	FBpp0079466	FBgn0236252	FBgn0236252	FBpp0263881	0.0376	0.3794	0.0991
31345	FBgn0011327	FBgn0011327	FBpp0076200	FBgn0238508	FBgn0238508	FBpp0266246	0.0169	0.3855	0.0438
31348	FBgn0035865	FBgn0035865	FBpp0076439	FBgn0238584	FBgn0238584	FBpp0355244	0.0145	0.2016	0.0719
31350	FBgn0039584	FBgn0039584	FBpp0084658	FBgn0240943	FBgn0240943	FBpp0268798	0.0211	0.1283	0.1645
31351	FBgn0004862	FBgn0004862	FBpp0083486	FBgn0242790;FBgn0277324	FBgn0242790	FBpp0270742	0.0057	0.2455	0.0232
31357	FBgn0034202	FBgn0034202	FBpp0086152	FBgn0231828	FBgn0231828	FBpp0259217	0.0818	0.3289	0.2487
31366	FBgn0036239	FBgn0036239	FBpp0311089	FBgn0237475	FBgn0237475	FBpp0265163	0.0832	0.2853	0.2916
31371	FBgn0037647	FBgn0037647	FBpp0081491	FBgn0241911	FBgn0241911	FBpp0269820	0.0071	0.2684	0.0265
31390	FBgn0039674	FBgn0039674	FBpp0084813	FBgn0241012	FBgn0241012	FBpp0268872	0.0104	0.378	0.0275
31396	FBgn0030108	FBgn0030108	FBpp0071246	FBgn0235227	FBgn0235227	FBpp0262792	0.045	0.2972	0.1514
31403	FBgn0036817	FBgn0036817	FBpp0300968	FBgn0236907	FBgn0236907	FBpp0264577	0.0152	0.2957	0.0514
31407	FBgn0037661	FBgn0037661	FBpp0081451	FBgn0242978	FBgn0242978	FBpp0270939	0.0506	0.3579	0.1414
31413	FBgn0037884	FBgn0037884	FBpp0081840	FBgn0241743	FBgn0241743	FBpp0269643	0.0134	0.3809	0.0352
31422	FBgn0036262	FBgn0036262	FBpp0288569	FBgn0068263	FBgn0068263	FBpp0266901	0.0087	0.3618	0.024
31425	FBgn0022984;FBgn0034659;FBgn0034740;FBgn0034739	FBgn0022984	FBpp0308621	FBgn0229475	FBgn0229475	FBpp0256691	0.0068	0.3468	0.0196
31427	FBgn0038134	FBgn0038134	FBpp0082243	FBgn0241571	FBgn0241571	FBpp0269465	0.0117	0.2261	0.0517
31431	FBgn0085245	FBgn0085245	FBpp0308263	FBgn0240854	FBgn0240854	FBpp0359788	0.0812	0.3377	0.2405
31439	FBgn0035568;FBgn0035567	FBgn0035568	FBpp0073222	FBgn0237901;FBgn0237900	FBgn0237901	FBpp0265603	0.2204	3.6885	0.0598
31444	FBgn0032350	FBgn0032350	FBpp0079809	FBgn0230673	FBgn0230673	FBpp0257971	0.0067	0.1706	0.0393
31452	FBgn0028847	FBgn0028847	FBpp0310256	FBgn0229296	FBgn0229296	FBpp0256502	0.067	0.4074	0.1645
31453	FBgn0034129	FBgn0034129	FBpp0086303	FBgn0229585	FBgn0229585	FBpp0256803	0.0472	0.4348	0.1086
31455	FBgn0030904	FBgn0030904	FBpp0289419	FBgn0233121	FBgn0233121	FBpp0260558	0.0292	0.4503	0.0648
31459	FBgn0053514	FBgn0053514	FBpp0073145	FBgn0238701	FBgn0238701	FBpp0266453	0.025	0.3782	0.0661
31460	FBgn0085486	FBgn0085486	FBpp0311689	FBgn0229601	FBgn0229601	FBpp0354677	0.0072	0.3594	0.02
31462	FBgn0037908	FBgn0037908	FBpp0081870	FBgn0243141	FBgn0243141	FBpp0362516	0.0207	0.1766	0.1172
31468	FBgn0052755	FBgn0052755	FBpp0070827	FBgn0235023	FBgn0235023	FBpp0262576	0.0596	0.3797	0.157
31480	FBgn0045064	FBgn0045064	FBpp0303611	FBgn0230979	FBgn0230979	FBpp0258303	0.0029	0.339	0.0086
31483	FBgn0051251	FBgn0051251	FBpp0082917	FBgn0242337	FBgn0242337	FBpp0270265	0.0525	0.24	0.2188
31491	FBgn0039714	FBgn0039714	FBpp0292151	FBgn0228280	FBgn0228280	FBpp0255426	0.0079	0.1763	0.0448
31503	FBgn0034463	FBgn0034463	FBpp0309473	FBgn0229843	FBgn0229843	FBpp0257080	0.0403	0.3683	0.1094
31504	FBgn0031718	FBgn0031718	FBpp0113003	FBgn0236361	FBgn0236361	FBpp0264002	0.0164	0.5009	0.0327
31517	FBgn0031619	FBgn0031619	FBpp0077068	FBgn0235726	FBgn0235726	FBpp0263311	0.0097	0.3261	0.0297
31523	FBgn0265184	FBgn0265184	FBpp0308248	FBgn0229996	FBgn0229996	FBpp0362311	0.083	0.2943	0.282
31530	FBgn0030328	FBgn0030328	FBpp0292402	FBgn0235060	FBgn0235060	FBpp0262615	0.0172	0.16	0.1075
31534	FBgn0032768;FBgn0032769	FBgn0032768	FBpp0080766	FBgn0230386;FBgn0230931	FBgn0230386	FBpp0257669	0.0262	0.3225	0.0812
31538	FBgn0030163	FBgn0030163	FBpp0071364	FBgn0233001	FBgn0233001	FBpp0260435	0.019	0.397	0.0479
31541	FBgn0025573	FBgn0025573	FBpp0071650	FBgn0231324	FBgn0231324	FBpp0258677	0.024	0.6426	0.0373
31546	FBgn0034650	FBgn0034650	FBpp0071583	FBgn0229972	FBgn0229972	FBpp0257221	0.0188	0.1498	0.1255
31547	FBgn0028694	FBgn0028694	FBpp0078664	FBgn0068045	FBgn0068045	FBpp0263708	0.0002	0.2251	0.0009
31548	FBgn0053965	FBgn0053965	FBpp0099381	FBgn0238406	FBgn0238406	FBpp0266138	0.0304	0.3532	0.0861
31553	FBgn0031457	FBgn0031457	FBpp0077416	FBgn0232628	FBgn0232628	FBpp0260048	0.012	0.2749	0.0437
31561	FBgn0030675	FBgn0030675	FBpp0073899	FBgn0234689	FBgn0234689	FBpp0262221	0.0675	0.3376	0.1999
31568	FBgn0037239	FBgn0037239	FBpp0078553	FBgn0242482	FBgn0242482	FBpp0364266	0.0183	0.333	0.055
31572	FBgn0053966	FBgn0053966	FBpp0099382	FBgn0238407	FBgn0238407	FBpp0266139	0.0259	0.4856	0.0533
31577	FBgn0052204	FBgn0052204	FBpp0112341	FBgn0239756;FBgn0275797;FBgn0276334	FBgn0239756	FBpp0361265	0.0109	0.1545	0.0706
31582	FBgn0036170	FBgn0036170	FBpp0075887	FBgn0237531	FBgn0237531	FBpp0265220	0.1187	0.5568	0.2132
31584	FBgn0033458	FBgn0033458	FBpp0087464	FBgn0236661	FBgn0236661	FBpp0264321	0.1589	0.2902	0.5476
31589	FBgn0032015	FBgn0032015	FBpp0079233	FBgn0228890	FBgn0228890	FBpp0256073	0.011	0.2173	0.0506
31600	FBgn0029783	FBgn0029783	FBpp0070817	FBgn0234292	FBgn0234292	FBpp0261809	0.0109	0.3607	0.0302
31602	FBgn0004107	FBgn0004107	FBpp0289675	FBgn0067994	FBgn0067994	FBpp0361187	0.0043	0.3507	0.0123
31607	FBgn0033437	FBgn0033437	FBpp0087586	FBgn0239377	FBgn0239377	FBpp0267158	0.0084	0.2856	0.0294
31608	FBgn0051636	FBgn0051636	FBpp0078953	FBgn0235840	FBgn0235840	FBpp0263432	0.0362	0.4452	0.0813
31610	FBgn0027843	FBgn0027843	FBpp0075733	FBgn0239132	FBgn0239132	FBpp0266900	0.0313	0.297	0.1054
31612	FBgn0032017	FBgn0032017	FBpp0079232	FBgn0228882	FBgn0228882	FBpp0256065	0.037	0.3207	0.1154
31615	FBgn0034265	FBgn0034265	FBpp0086045	FBgn0068276	FBgn0068276	FBpp0258979	0.022	0.335	0.0657
31617	FBgn0037217	FBgn0037217	FBpp0110558	FBgn0242450	FBgn0242450	FBpp0356704	0.1049	0.4559	0.2301
31618	FBgn0015283	FBgn0015283	FBpp0305644	FBgn0237103;FBgn0237100	FBgn0237103	FBpp0264780	0.0125	0.1974	0.0633
31624	FBgn0035325	FBgn0035325	FBpp0072758	FBgn0237627	FBgn0237627	FBpp0265319	0.0153	0.4707	0.0325
31625	FBgn0038956	FBgn0038956	FBpp0083628	FBgn0241183	FBgn0241183	FBpp0269054	0.0488	0.3075	0.1587
31627	FBgn0032785	FBgn0032785	FBpp0080778	FBgn0230944	FBgn0230944	FBpp0258266	0.02	0.3373	0.0593
31631	FBgn0087039	FBgn0087039	FBpp0076430	FBgn0238030	FBgn0238030	FBpp0265737	0.0921	0.2742	0.3359
31636	FBgn0033031	FBgn0033031	FBpp0085372	FBgn0237829	FBgn0237829	FBpp0360708	0.0434	0.2227	0.1949
31637	FBgn0039124	FBgn0039124	FBpp0083911	FBgn0241061	FBgn0241061	FBpp0268923	0.1481	0.3905	0.3793
31646	FBgn0030947	FBgn0030947	FBpp0074382	FBgn0233079	FBgn0233079	FBpp0260513	0.0212	0.33	0.0642
31647	FBgn0039770	FBgn0039770	FBpp0112222	FBgn0240582	FBgn0240582	FBpp0268399	0.0127	0.2466	0.0515
31649	FBgn0039625	FBgn0039625	FBpp0084788	FBgn0228342	FBgn0228342	FBpp0255491	0.0193	0.4037	0.0478
31650	FBgn0024994	FBgn0024994	FBpp0271784	FBgn0234417	FBgn0234417	FBpp0356967	0.0082	0.2978	0.0275
31658	FBgn0261714	FBgn0261714	FBpp0082021	FBgn0241658	FBgn0241658	FBpp0354473	0.183	0.2448	0.7475
31659	FBgn0033787	FBgn0033787	FBpp0311525	FBgn0230246	FBgn0230246	FBpp0257518	0.0198	0.2594	0.0763
31661	FBgn0030873	FBgn0030873	FBpp0074244	FBgn0233140	FBgn0233140	FBpp0260578	0.0053	0.2058	0.0258
31672	FBgn0036504	FBgn0036504	FBpp0075310	FBgn0239472;FBgn0240351	FBgn0239472	FBpp0267256	0.0411	0.3878	0.106
31673	FBgn0033706	FBgn0033706	FBpp0087108	FBgn0230167	FBgn0230167	FBpp0257433	0.0664	0.4746	0.1399
31674	FBgn0035294	FBgn0035294	FBpp0072720	FBgn0238477	FBgn0238477	FBpp0266212	0.0106	0.3126	0.0339
31685	FBgn0053481	FBgn0053481	FBpp0306511	FBgn0232123	FBgn0232123	FBpp0363675	0.0324	0.2767	0.1171
31689	FBgn0003310	FBgn0003310	FBpp0077658	FBgn0233375	FBgn0233375	FBpp0260820	0.0129	0.1405	0.0918
