"FBgn" "ML.dN" "ML.dS" "ML.omega"
"FBgn0039629" 0.0586 0.3117 0.188
"FBgn0033214" 0.0092 0.3227 0.0285
"FBgn0051119" 0.0242 0.3362 0.072
"FBgn0032515" 0.0233 0.3133 0.0744
"FBgn0005649" 0.0048 0.1543 0.0311
"FBgn0031760" 0.0083 0.2889 0.0287
"FBgn0037710" 0.0079 0.2465 0.032
"FBgn0053506" 0.0331 0.5032 0.0658
"FBgn0031252" 0.031 0.3118 0.0994
"FBgn0037537" 0.0193 0.2834 0.0681
"FBgn0024509" 0.0059 0.3885 0.0152
"FBgn0045468" 0.1538 0.4543 0.3385
"FBgn0024250" 0.0266 0.2343 0.1135
"FBgn0029826" 0.0444 0.4671 0.0951
"FBgn0032378" 0.006 0.3175 0.0189
"FBgn0032850" 0.0185 0.224 0.0826
"FBgn0011573" 0.0118 0.4407 0.0268
"FBgn0035189" 0.1334 2.6777 0.0498
"FBgn0046692" 0.0832 0.3109 0.2676
"FBgn0085288" 0.1293 0.2549 0.5073
"FBgn0003117" 0.0144 0.2654 0.0543
"FBgn0026389" 0.0201 0.3101 0.0648
"FBgn0050001" 0.0509 0.2711 0.1878
"FBgn0040366" 0.104 0.4735 0.2196
"FBgn0033891" 0.0153 0.4242 0.0361
"FBgn0029503" 0.0338 0.2599 0.1301
"FBgn0040066" 0.0023 0.3348 0.0069
"FBgn0038922" 0.0023 0.2403 0.0096
"FBgn0025109" 0.0081 0.1981 0.0409
"FBgn0036248" 0.0754 0.461 0.1636
"FBgn0083976" 0.0398 0.35 0.1137
"FBgn0032646" 0.0159 0.505 0.0315
"FBgn0039741" 0.0166 0.359 0.0462
"FBgn0037019" 0.0176 0.2916 0.0604
"FBgn0033490" 0.094 0.3226 0.2914
"FBgn0010339" 2e-04 0.2076 0.001
"FBgn0031489" 0.0574 0.3365 0.1706
"FBgn0053993" 0.0234 0.2038 0.1148
"FBgn0000158" 0.1295 0.4261 0.3039
"FBgn0034835" 0.0459 0.5293 0.0867
"FBgn0000227" 0.028 0.2783 0.1006
"FBgn0019972" 0.0148 0.3006 0.0492
"FBgn0038312" 0.0255 0.2836 0.0899
"FBgn0024542" 0.0348 0.3601 0.0966
"FBgn0039486" 0.0139 0.3261 0.0426
"FBgn0027600" 0.0049 0.2497 0.0196
"FBgn0031150" 0.0064 0.1204 0.0532
"FBgn0035496" 0.4423 4.4995 0.0983
"FBgn0036325" 0.3078 0.3353 0.918
"FBgn0037085" 0.2821 0.4932 0.572
"FBgn0031851" 0.018 0.3782 0.0476
"FBgn0036942" 0.0382 0.3624 0.1054
"FBgn0036154" 0.0913 0.3472 0.263
"FBgn0083985" 0.0638 0.2735 0.2333
"FBgn0038280" 0.14 0.4292 0.3262
"FBgn0052698" 2e-04 0.175 0.0011
"FBgn0020376" 0.1247 0.4112 0.3033
"FBgn0039469" 0.0065 0.1515 0.0429
"FBgn0033653" 0.0154 0.2294 0.0671
"FBgn0004838" 0.002 0.1775 0.0113
"FBgn0038772" 0.0317 0.37 0.0857
"FBgn0034172" 0.0039 0.3047 0.0128
"FBgn0037473" 0.0201 0.2959 0.0679
"FBgn0039272" 0.0112 0.3659 0.0306
"FBgn0039069" 0.0284 0.3418 0.0831
"FBgn0036760" 0.0188 0.2944 0.0639
"FBgn0029942" 0.1356 0.7232 0.1875
"FBgn0035374" 0.0266 0.3865 0.0688
"FBgn0039407" 0.01 0.1452 0.0689
"FBgn0039598" 0.0975 0.3811 0.2558
"FBgn0051457" 0.1066 0.4232 0.2519
"FBgn0023177" 0.0013 0.3791 0.0034
"FBgn0002715" 0.0746 0.3426 0.2177
"FBgn0039020" 0.0163 0.3368 0.0484
"FBgn0035143" 0.0789 0.4984 0.1583
"FBgn0261381" 0.0208 0.3509 0.0593
"FBgn0033782" 0.0108 0.2963 0.0364
"FBgn0264747" 0.0581 0.4113 0.1413
"FBgn0260932" 0.1597 0.387 0.4127
"FBgn0035057" 0.0145 0.3091 0.0469
"FBgn0026384" 0.0263 0.4589 0.0573
"FBgn0034390" 0.0099 0.332 0.0298
"FBgn0014022" 0.0658 0.2844 0.2314
"FBgn0050429" 0.0351 0.2581 0.136
"FBgn0053110" 0.0124 0.2187 0.0567
"FBgn0037566" 0.0157 0.2169 0.0724
"FBgn0260480" 0.1433 0.557 0.2573
"FBgn0036952" 0.2107 0.41 0.5139
"FBgn0040777" 0.0064 0.2462 0.026
"FBgn0032234" 0.0484 0.2898 0.167
"FBgn0037491" 0.0084 0.2573 0.0326
"FBgn0033096" 0.0467 0.3688 0.1266
"FBgn0036919" 0.0213 0.2729 0.0781
"FBgn0031914" 0.019 0.2962 0.0641
"FBgn0027552" 0.0106 0.4356 0.0243
"FBgn0033101" 0.0108 0.6326 0.0171
"FBgn0036290" 0.0054 0.4212 0.0128
"FBgn0034173" 0.0338 0.391 0.0864
"FBgn0036289" 0.0102 0.3641 0.028
"FBgn0084001" 0.1184 0.3335 0.355
"FBgn0035986" 0.0205 0.156 0.1314
"FBgn0014143" 8e-04 0.2519 0.0032
"FBgn0003139" 0.0148 0.35 0.0423
"FBgn0033685" 0.0155 0.3861 0.0401
"FBgn0015268" 0.0257 0.2771 0.0927
"FBgn0038401" 0.008 0.2621 0.0305
"FBgn0031256" 0.0059 0.3355 0.0176
"FBgn0037975" 0.0184 0.3467 0.0531
"FBgn0036328" 0.0595 0.371 0.1604
"FBgn0259715" 0.0382 0.5073 0.0753
"FBgn0030420" 0.2231 0.6944 0.3213
"FBgn0036028" 0.0061 0.3347 0.0182
"FBgn0034988" 0.0189 0.4787 0.0395
"FBgn0031106" 0.0079 0.3543 0.0223
"FBgn0037016" 0.0482 0.2361 0.2042
"FBgn0032039" 0.1729 0.4107 0.421
"FBgn0029949" 0.1472 0.4962 0.2967
"FBgn0037802" 0.0225 0.2613 0.0861
"FBgn0031463" 0.0899 0.3759 0.2392
"FBgn0035956" 0.0154 0.2607 0.0591
"FBgn0030174" 0.0195 0.1565 0.1246
"FBgn0028490" 0.0662 0.2523 0.2624
"FBgn0030996" 0.0085 0.3543 0.024
"FBgn0030878" 0.0111 0.2979 0.0373
"FBgn0035555" 0.048 0.2744 0.1749
"FBgn0283651" 0.0396 0.2349 0.1686
"FBgn0028375" 0.0125 0.25 0.05
"FBgn0033475" 0.0775 0.2878 0.2693
"FBgn0027583" 0.0129 0.3566 0.0362
"FBgn0037100" 0.0288 0.301 0.0957
"FBgn0037325" 0.0649 0.4272 0.1519
"FBgn0033347" 0.1252 0.4035 0.3103
"FBgn0052413" 0.1367 0.3399 0.4022
"FBgn0036777" 0.0758 0.3016 0.2513
"FBgn0039450" 0.0157 0.2569 0.0611
"FBgn0040765" 0.0218 0.2572 0.0848
"FBgn0263106" 0.0395 0.3538 0.1116
"FBgn0034008" 0.0542 0.3378 0.1604
"FBgn0035107" 0.0081 0.2352 0.0344
"FBgn0031053" 0.0244 0.3121 0.0782
"FBgn0033166" 0.0443 0.2596 0.1706
"FBgn0032820" 0.0078 0.3301 0.0236
"FBgn0031630" 0.015 0.3468 0.0433
"FBgn0250820" 0.0082 0.2977 0.0275
"FBgn0041242" 0.0826 0.3435 0.2405
"FBgn0028837" 0.0151 0.2987 0.0506
"FBgn0038877" 0.0069 0.1813 0.0381
"FBgn0036036" 0.0588 0.3444 0.1707
"FBgn0031466" 0.0378 0.2949 0.1282
"FBgn0023477" 0.0049 0.2403 0.0204
"FBgn0028540" 0.0013 0.2008 0.0065
"FBgn0037719" 0.0563 0.2581 0.2181
"FBgn0033813" 0.124 0.2629 0.4717
"FBgn0030634" 0.0039 0.2408 0.0162
"FBgn0033735" 0.017 0.3374 0.0504
"FBgn0039694" 0.063 0.3415 0.1845
"FBgn0030360" 0.0477 0.2804 0.1701
"FBgn0039470" 0.0895 0.3026 0.2958
"FBgn0266429" 0.0131 0.1852 0.0707
"FBgn0037185" 0.0495 0.3059 0.1618
"FBgn0033117" 0.044 0.342 0.1287
"FBgn0031513" 0.2938 0.4135 0.7105
"FBgn0039304" 0.0205 0.2546 0.0805
"FBgn0038371" 0.0736 0.3946 0.1865
"FBgn0265052" 0.0748 0.4912 0.1523
"FBgn0260985" 0.0106 0.3291 0.0322
"FBgn0036515" 0.0181 0.1852 0.0977
"FBgn0011666" 0.009 0.1597 0.0564
"FBgn0036759" 0.0319 0.2639 0.1209
"FBgn0034683" 0.0696 0.3119 0.2231
"FBgn0038360" 0.0409 0.4312 0.0949
"FBgn0034371" 0.0056 0.1672 0.0335
"FBgn0035483" 0.0201 0.3638 0.0553
"FBgn0067783" 0.0173 0.2394 0.0723
"FBgn0024993" 0.096 0.3139 0.3058
"FBgn0037902" 0.0091 0.2768 0.0329
"FBgn0051673" 0.0252 0.2329 0.1082
"FBgn0029512" 0.0325 0.3995 0.0814
"FBgn0033389" 0.09 0.2954 0.3047
"FBgn0030296" 0.1285 0.3097 0.4149
"FBgn0052243" 0.1909 0.4804 0.3974
"FBgn0283649" 0.0028 0.1379 0.0203
"FBgn0039595" 0.0035 0.2048 0.0171
"FBgn0265185" 0.0165 0.4032 0.0409
"FBgn0033060" 0.0437 0.2011 0.2173
"FBgn0032228" 0.0273 0.3603 0.0758
"FBgn0039630" 0.0426 0.2669 0.1596
"FBgn0032783" 0.0037 0.4691 0.0079
"FBgn0000084" 0.0075 0.2844 0.0264
"FBgn0035206" 0.0098 0.3062 0.032
"FBgn0040465" 0.0511 0.4091 0.1249
"FBgn0025630" 0.0852 0.455 0.1873
"FBgn0036834" 0.0254 0.3405 0.0746
"FBgn0028897" 0.0135 0.3261 0.0414
"FBgn0028857" 0.0625 0.3803 0.1643
"FBgn0037992" 0.004 0.1564 0.0256
"FBgn0033826" 0.0349 0.2856 0.1222
"FBgn0031418" 0.0157 0.2376 0.0661
"FBgn0260453" 0.0561 0.3922 0.143
"FBgn0028394" 0.0061 0.2923 0.0209
"FBgn0015621" 0.0067 0.5897 0.0114
"FBgn0017572" 2e-04 0.2081 0.001
"FBgn0016131" 0.0081 0.3809 0.0213
"FBgn0039664" 0.0412 0.8599 0.0479
"FBgn0038206" 0.0013 0.3409 0.0038
"FBgn0039473" 0.0343 0.3374 0.1017
"FBgn0039945" 0.0964 0.1878 0.5133
"FBgn0260657" 0.0064 0.11 0.0582
"FBgn0039106" 0.0083 0.4528 0.0183
"FBgn0031441" 0.1613 1.0844 0.1487
"FBgn0032405" 0.0208 0.3251 0.064
"FBgn0062449" 0.199 0.2937 0.6776
"FBgn0033112" 0.0998 0.3518 0.2837
"FBgn0037368" 0.061 0.3661 0.1666
"FBgn0264816" 0.0256 0.3673 0.0697
"FBgn0025682" 0.0386 0.3289 0.1174
"FBgn0033474" 0.0285 0.1935 0.1473
"FBgn0037017" 0.0173 0.307 0.0564
"FBgn0001258" 0.0025 0.2274 0.011
"FBgn0034898" 0.0814 0.5509 0.1478
"FBgn0039849" 0.0149 0.3184 0.0468
"FBgn0025674" 0.0243 0.3734 0.0651
"FBgn0003300" 0.0033 0.1887 0.0175
"FBgn0003448" 0.0055 0.2342 0.0235
"FBgn0001148" 0.0181 0.2984 0.0607
"FBgn0051642" 0.2241 0.4347 0.5155
"FBgn0033203" 0.0425 0.4639 0.0916
"FBgn0034925" 0.0042 0.3419 0.0123
"FBgn0034842" 0.0324 0.462 0.0701
"FBgn0052571" 0.0204 0.259 0.0788
"FBgn0035971" 0.1389 0.3879 0.3581
"FBgn0031267" 0.0226 0.2613 0.0865
"FBgn0039301" 0.0274 0.3605 0.076
"FBgn0031483" 0.1513 0.426 0.3552
"FBgn0032692" 0.0413 0.2531 0.1632
"FBgn0260484" 0.0914 0.4196 0.2178
"FBgn0035524" 0.0124 0.2677 0.0463
"FBgn0030995" 0.0442 0.3127 0.1413
"FBgn0034655" 0.0267 0.3364 0.0794
"FBgn0031628" 0.0649 0.3645 0.1781
"FBgn0040318" 0.0061 0.2025 0.0301
"FBgn0085369" 0.0085 0.2954 0.0288
"FBgn0037396" 0.0855 0.4552 0.1878
"FBgn0031495" 0.0168 0.2056 0.0817
"FBgn0033665" 0.004 0.2968 0.0135
"FBgn0003479" 0.0039 0.3507 0.0111
"FBgn0052720" 0.2155 0.8296 0.2598
"FBgn0259199" 0.0564 0.4166 0.1354
"FBgn0031635" 0.0044 0.239 0.0184
"FBgn0031473" 0.004 0.2215 0.0181
"FBgn0029867" 0.0355 0.4759 0.0746
"FBgn0029849" 0.0062 0.3646 0.017
"FBgn0037320" 0.1968 0.3646 0.5398
"FBgn0036336" 0.0296 0.3439 0.0861
"FBgn0038861" 0.0345 0.4057 0.085
"FBgn0036916" 0.0325 0.408 0.0797
"FBgn0037365" 0.0785 0.4311 0.1821
"FBgn0038257" 0.0361 0.2839 0.1272
"FBgn0029936" 0.0497 0.4953 0.1003
"FBgn0027364" 0.0063 0.4406 0.0143
"FBgn0032149" 0.0376 0.3794 0.0991
"FBgn0011327" 0.0169 0.3855 0.0438
"FBgn0035865" 0.0145 0.2016 0.0719
"FBgn0039584" 0.0211 0.1283 0.1645
"FBgn0004862" 0.0057 0.2455 0.0232
"FBgn0034202" 0.0818 0.3289 0.2487
"FBgn0036239" 0.0832 0.2853 0.2916
"FBgn0037647" 0.0071 0.2684 0.0265
"FBgn0039674" 0.0104 0.378 0.0275
"FBgn0030108" 0.045 0.2972 0.1514
"FBgn0036817" 0.0152 0.2957 0.0514
"FBgn0037661" 0.0506 0.3579 0.1414
"FBgn0037884" 0.0134 0.3809 0.0352
"FBgn0036262" 0.0087 0.3618 0.024
"FBgn0022984" 0.0068 0.3468 0.0196
"FBgn0038134" 0.0117 0.2261 0.0517
"FBgn0085245" 0.0812 0.3377 0.2405
"FBgn0035568" 0.2204 3.6885 0.0598
"FBgn0032350" 0.0067 0.1706 0.0393
"FBgn0028847" 0.067 0.4074 0.1645
"FBgn0034129" 0.0472 0.4348 0.1086
"FBgn0030904" 0.0292 0.4503 0.0648
"FBgn0053514" 0.025 0.3782 0.0661
"FBgn0085486" 0.0072 0.3594 0.02
"FBgn0037908" 0.0207 0.1766 0.1172
"FBgn0052755" 0.0596 0.3797 0.157
"FBgn0045064" 0.0029 0.339 0.0086
"FBgn0051251" 0.0525 0.24 0.2188
"FBgn0039714" 0.0079 0.1763 0.0448
"FBgn0034463" 0.0403 0.3683 0.1094
"FBgn0031718" 0.0164 0.5009 0.0327
"FBgn0031619" 0.0097 0.3261 0.0297
"FBgn0265184" 0.083 0.2943 0.282
"FBgn0030328" 0.0172 0.16 0.1075
"FBgn0032768" 0.0262 0.3225 0.0812
"FBgn0030163" 0.019 0.397 0.0479
"FBgn0025573" 0.024 0.6426 0.0373
"FBgn0034650" 0.0188 0.1498 0.1255
"FBgn0028694" 2e-04 0.2251 9e-04
"FBgn0053965" 0.0304 0.3532 0.0861
"FBgn0031457" 0.012 0.2749 0.0437
"FBgn0030675" 0.0675 0.3376 0.1999
"FBgn0037239" 0.0183 0.333 0.055
"FBgn0053966" 0.0259 0.4856 0.0533
"FBgn0052204" 0.0109 0.1545 0.0706
"FBgn0036170" 0.1187 0.5568 0.2132
"FBgn0033458" 0.1589 0.2902 0.5476
"FBgn0032015" 0.011 0.2173 0.0506
"FBgn0029783" 0.0109 0.3607 0.0302
"FBgn0004107" 0.0043 0.3507 0.0123
"FBgn0033437" 0.0084 0.2856 0.0294
"FBgn0051636" 0.0362 0.4452 0.0813
"FBgn0027843" 0.0313 0.297 0.1054
"FBgn0032017" 0.037 0.3207 0.1154
"FBgn0034265" 0.022 0.335 0.0657
"FBgn0037217" 0.1049 0.4559 0.2301
"FBgn0015283" 0.0125 0.1974 0.0633
"FBgn0035325" 0.0153 0.4707 0.0325
"FBgn0038956" 0.0488 0.3075 0.1587
"FBgn0032785" 0.02 0.3373 0.0593
"FBgn0087039" 0.0921 0.2742 0.3359
"FBgn0033031" 0.0434 0.2227 0.1949
"FBgn0039124" 0.1481 0.3905 0.3793
"FBgn0030947" 0.0212 0.33 0.0642
"FBgn0039770" 0.0127 0.2466 0.0515
"FBgn0039625" 0.0193 0.4037 0.0478
"FBgn0024994" 0.0082 0.2978 0.0275
"FBgn0261714" 0.183 0.2448 0.7475
"FBgn0033787" 0.0198 0.2594 0.0763
"FBgn0030873" 0.0053 0.2058 0.0258
"FBgn0036504" 0.0411 0.3878 0.106
"FBgn0033706" 0.0664 0.4746 0.1399
"FBgn0035294" 0.0106 0.3126 0.0339
"FBgn0053481" 0.0324 0.2767 0.1171
"FBgn0003310" 0.0129 0.1405 0.0918
"FBgn0034454" 0.0028 0.2115 0.0132
"FBgn0050339" 0.025 0.2672 0.0936
"FBgn0030503" 0.0354 0.3271 0.1082
"FBgn0260942" 0.0087 0.431 0.0202
"FBgn0036159" 0.0974 0.3959 0.246
"FBgn0039807" 0.0501 0.4267 0.1174
"FBgn0038510" 0.0428 0.3308 0.1294
"FBgn0033784" 0.0091 0.1351 0.0674
"FBgn0052600" 0.019 0.1252 0.1518
"FBgn0039385" 0.0685 0.3755 0.1824
"FBgn0010282" 0.0117 0.3736 0.0313
"FBgn0033628" 0.0273 0.3004 0.0909
"FBgn0032408" 0.0218 0.448 0.0487
"FBgn0011278" 0.0082 0.2872 0.0286
"FBgn0263040" 0.1962 0.3934 0.4987
"FBgn0033264" 0.0694 0.2581 0.2689
"FBgn0030347" 0.0667 0.5801 0.115
"FBgn0037317" 0.1246 0.445 0.28
"FBgn0039531" 0.0255 0.2921 0.0873
"FBgn0040726" 0.0172 0.1374 0.1252
"FBgn0033850" 0.0238 0.2575 0.0924
"FBgn0031434" 0.0454 0.3214 0.1413
"FBgn0008651" 0.0516 0.2921 0.1767
"FBgn0025936" 0.0311 0.27 0.1152
"FBgn0031817" 0.0297 0.4635 0.0641
"FBgn0029935" 0.022 0.3927 0.056
"FBgn0050495" 0.0316 0.2918 0.1083
"FBgn0039366" 0.1167 0.3296 0.3541
"FBgn0263398" 0.1243 0.7076 0.1757
"FBgn0085377" 0.0041 0.462 0.0089
"FBgn0030297" 0.1194 0.4835 0.2469
"FBgn0037255" 0.0251 0.2799 0.0897
"FBgn0039838" 0.0246 0.3937 0.0625
"FBgn0000071" 0.0153 0.295 0.0519
"FBgn0067628" 0.0215 0.2848 0.0755
"FBgn0262366" 0.1994 0.4054 0.4919
"FBgn0033903" 0.0257 0.3464 0.0742
"FBgn0031906" 0.0054 0.3374 0.016
"FBgn0039698" 0.0088 0.2672 0.0329
"FBgn0030874" 0.0233 0.4092 0.0569
"FBgn0031950" 0.0532 0.2262 0.2352
"FBgn0051674" 0.0259 0.2562 0.1011
"FBgn0034636" 1e-04 0.092 0.0011
"FBgn0260986" 0.0876 0.259 0.3382
"FBgn0027066" 0.013 0.1981 0.0656
"FBgn0259481" 0.0218 0.0928 0.2349
"FBgn0024184" 0.0148 0.3434 0.0431
"FBgn0033990" 0.1275 0.3017 0.4226
"FBgn0033448" 0.0364 0.2984 0.122
"FBgn0027526" 0.0068 0.3824 0.0178
"FBgn0028645" 0.0174 0.1868 0.0931
"FBgn0033191" 0.009 0.3545 0.0254
"FBgn0037023" 0.0434 0.5375 0.0807
"FBgn0032321" 0.023 0.3145 0.0731
"FBgn0030653" 0.0261 0.3244 0.0805
"FBgn0031484" 0.103 0.3325 0.3098
"FBgn0030872" 0.0089 0.2585 0.0344
"FBgn0030015" 0.1222 0.5271 0.2318
"FBgn0052099" 0.0376 0.2457 0.153
"FBgn0037330" 0.059 0.3113 0.1895
"FBgn0036557" 0.0219 0.3163 0.0692
"FBgn0027496" 0.0041 0.3784 0.0108
"FBgn0035031" 0.062 0.3358 0.1846
"FBgn0030411" 0.0408 0.3533 0.1155
"FBgn0032719" 0.0851 0.2515 0.3384
"FBgn0032004" 0.0363 0.3415 0.1063
"FBgn0039689" 0.0101 0.328 0.0308
"FBgn0030744" 0.0527 0.2346 0.2246
"FBgn0283659" 0.0256 0.3318 0.0772
"FBgn0046302" 0.1465 0.318 0.4607
"FBgn0053462" 0.1849 0.4497 0.4112
"FBgn0032597" 0.0116 0.2749 0.0422
"FBgn0036203" 0.1747 0.5208 0.3354
"FBgn0036813" 0.0052 0.2757 0.0189
"FBgn0038049" 0.0069 0.3904 0.0177
"FBgn0030729" 0.0288 0.4176 0.069
"FBgn0028841" 0.0331 0.3503 0.0945
"FBgn0034666" 0.06 0.5172 0.116
"FBgn0033767" 0.0276 0.3362 0.0821
"FBgn0038472" 0.0243 0.363 0.0669
"FBgn0030164" 0.0335 0.4661 0.0719
"FBgn0037076" 0.0425 0.2658 0.1599
"FBgn0050424" 0.179 0.4383 0.4084
"FBgn0050156" 0.1018 0.3278 0.3106
"FBgn0031282" 0.0131 0.3237 0.0405
"FBgn0024995" 0.0067 0.4048 0.0166
"FBgn0039472" 0.0407 0.3821 0.1065
"FBgn0004106" 3e-04 0.2808 0.0011
"FBgn0040368" 0.2033 0.7252 0.2803
"FBgn0038950" 0.0074 0.1879 0.0394
"FBgn0027053" 0.0013 0.362 0.0036
"FBgn0035318" 0.0282 0.3172 0.0889
"FBgn0039627" 0.0115 0.3759 0.0306
"FBgn0014269" 0.0083 0.2606 0.0318
"FBgn0039958" 0.0225 0.2868 0.0785
"FBgn0029117" 0.0304 0.3318 0.0916
"FBgn0033330" 0.1134 0.3776 0.3003
"FBgn0038195" 0.0345 0.3496 0.0987
"FBgn0039659" 0.25 0.3433 0.7282
"FBgn0039864" 0.0134 0.3216 0.0417
"FBgn0027841" 0.0098 0.3184 0.0308
"FBgn0023521" 0.026 0.312 0.0833
"FBgn0064225" 3e-04 0.2876 0.001
"FBgn0029980" 0.0145 0.3471 0.0418
"FBgn0036832" 0.052 0.2642 0.1968
"FBgn0036648" 0.028 0.3724 0.0752
"FBgn0032770" 0.0344 0.4314 0.0797
"FBgn0010501" 0.0238 0.342 0.0696
"FBgn0035233" 0.0178 0.3855 0.0462
"FBgn0035228" 0.0105 0.2487 0.0422
"FBgn0034554" 0.1554 0.5086 0.3055
"FBgn0038110" 0.0147 0.2699 0.0545
"FBgn0029974" 0.0143 0.1959 0.073
"FBgn0036327" 0.0675 0.2862 0.2358
"FBgn0261993" 0.0434 0.2976 0.1458
"FBgn0035855" 0.1616 0.4098 0.3943
"FBgn0029905" 0.0269 0.2742 0.0981
"FBgn0032364" 0.2117 0.4305 0.4918
"FBgn0053341" 0.0522 0.4073 0.1282
"FBgn0037359" 0.0205 0.4257 0.0482
"FBgn0032119" 0.0435 0.2868 0.1517
"FBgn0260459" 0.0749 0.3744 0.2001
"FBgn0050366" 0.122 0.3375 0.3615
"FBgn0031834" 0.0471 0.3497 0.1347
"FBgn0039726" 0.0015 0.2656 0.0056
"FBgn0002931" 0.0398 0.2311 0.1722
"FBgn0031472" 0.0969 0.3648 0.2656
"FBgn0030740" 0.0466 0.3608 0.1292
"FBgn0030005" 0.0654 0.3739 0.1749
"FBgn0001091" 0.0138 1.117 0.0124
"FBgn0028412" 0.2366 0.5503 0.4299
"FBgn0034422" 0.0518 0.3249 0.1594
"FBgn0038608" 0.0361 0.2235 0.1615
"FBgn0037819" 0.0028 0.3466 0.0081
"FBgn0085484" 0.0107 0.3186 0.0336
"FBgn0032968" 0.0984 0.3679 0.2675
"FBgn0035035" 0.0128 0.2216 0.0578
"FBgn0052066" 0.0026 0.1822 0.0143
"FBgn0030507" 0.0434 0.2733 0.1588
"FBgn0051682" 0.0636 0.3086 0.2061
"FBgn0032615" 0.0685 0.307 0.2231
"FBgn0033815" 0.0218 0.2973 0.0733
"FBgn0028707" 0.0461 0.3611 0.1277
"FBgn0038189" 0.0706 0.3966 0.178
"FBgn0031476" 0.0188 0.5027 0.0374
"FBgn0010222" 0.0239 0.381 0.0627
"FBgn0010504" 0.0024 0.3087 0.0078
"FBgn0035316" 0.0783 0.3762 0.2081
"FBgn0014931" 0.1469 0.4206 0.3493
"FBgn0037092" 0.0027 0.2832 0.0095
"FBgn0031184" 0.0576 0.3372 0.1708
"FBgn0010516" 0.0056 0.2534 0.0221
"FBgn0034050" 0.0878 0.3574 0.2457
"FBgn0029866" 0.0415 0.3175 0.1307
"FBgn0031047" 0.0043 0.4343 0.0099
"FBgn0032503" 0.0695 0.3215 0.2162
"FBgn0265271" 0.03 0.3849 0.0779
"FBgn0031644" 0.0437 0.4371 0.1
"FBgn0036373" 0.0295 0.2269 0.13
"FBgn0013762" 3e-04 0.2678 0.0011
"FBgn0035003" 0.0349 0.3544 0.0985
"FBgn0028382" 0.0102 0.2947 0.0346
"FBgn0038674" 0.0224 0.2632 0.0851
"FBgn0036008" 0.0141 0.18 0.0783
"FBgn0039593" 0.1437 0.3356 0.4282
"FBgn0051055" 0.1962 0.3606 0.5441
"FBgn0263512" 0.0213 0.2448 0.087
"FBgn0035152" 0.0397 0.424 0.0936
"FBgn0033434" 0.0482 0.3658 0.1318
"FBgn0035542" 0.0455 0.1949 0.2335
"FBgn0000576" 0.0037 0.204 0.0181
"FBgn0050053" 0.0483 0.2828 0.1708
"FBgn0026192" 0.0038 0.2007 0.0189
"FBgn0261479" 0.0086 0.299 0.0288
"FBgn0004363" 1e-04 0.0726 0.0014
"FBgn0000826" 0.0185 0.5264 0.0351
"FBgn0032986" 0.062 0.2795 0.2218
"FBgn0029975" 0.011 0.3034 0.0363
"FBgn0034069" 0.0377 0.1821 0.207
"FBgn0035453" 0.0355 0.3398 0.1045
"FBgn0040340" 0.76 54.2824 0.014
"FBgn0031876" 0.0378 0.3712 0.1018
"FBgn0052392" 0.0274 0.2891 0.0948
"FBgn0034583" 0.0087 0.3534 0.0246
"FBgn0038921" 0.0097 0.4346 0.0223
"FBgn0054056" 0.0269 0.5089 0.0529
"FBgn0037370" 0.0374 0.2503 0.1494
"FBgn0039503" 0.0897 0.4398 0.204
"FBgn0038685" 0.04 0.5258 0.0761
"FBgn0030964" 0.0261 0.3691 0.0707
"FBgn0025634" 0.0802 0.4684 0.1712
"FBgn0037538" 0.0281 0.3045 0.0923
"FBgn0041625" 0.5352 2.5889 0.2067
"FBgn0031913" 0.0083 0.4481 0.0185
"FBgn0029801" 0.0185 0.2161 0.0856
"FBgn0037970" 0.0676 0.4368 0.1548
"FBgn0036005" 0.0227 0.2826 0.0803
"FBgn0037723" 0.0059 0.3606 0.0164
"FBgn0038983" 2e-04 0.2279 9e-04
"FBgn0033322" 0.0529 0.4788 0.1105
"FBgn0261356" 0.0193 0.2283 0.0845
"FBgn0039378" 0.0966 0.2602 0.3713
"FBgn0037697" 0.0037 0.222 0.0167
"FBgn0038630" 0.0188 0.3002 0.0626
"FBgn0263240" 0.0082 0.2873 0.0285
"FBgn0000611" 1e-04 0.1429 7e-04
"FBgn0033549" 0.0457 0.4121 0.1109
"FBgn0041087" 0.0256 0.3044 0.0841
"FBgn0035471" 0.0116 0.2364 0.0491
"FBgn0032549" 0.1691 0.3747 0.4513
"FBgn0021768" 0.0469 0.3536 0.1326
"FBgn0036807" 0.0418 0.4795 0.0872
"FBgn0033769" 0.0209 0.3163 0.0661
"FBgn0085415" 0.025 0.2236 0.1118
"FBgn0004915" 0.0014 0.233 0.006
"FBgn0033690" 0.0205 0.3315 0.0618
"FBgn0035975" 0.0377 0.3585 0.1052
"FBgn0031951" 0.1516 0.4278 0.3544
"FBgn0030263" 0.025 0.321 0.0779
"FBgn0032618" 0.0067 0.2685 0.025
"FBgn0039212" 0.0238 0.2326 0.1023
"FBgn0025643" 0.0356 0.2802 0.1271
"FBgn0023525" 0.0273 0.3507 0.0778
"FBgn0031092" 0.0225 0.2602 0.0865
"FBgn0039755" 0.0065 0.4092 0.0159
"FBgn0085491" 0.0564 0.3085 0.1828
"FBgn0037323" 5e-04 0.5281 9e-04
"FBgn0039525" 0.0014 0.351 0.004
"FBgn0034599" 0.0382 0.3451 0.1107
"FBgn0019830" 0.0069 0.3774 0.0183
